id,duration,outcome
256,41.7414739,Passed
241,46.04338920000001,Passed
1327,52.9583024,Passed
1237,82.75592929999998,Failed
1799,90.9227866,Passed
1942,92.0337814,Timeout
1469,101.7486775,Failed
2278,105.7475857,Failed
1533,106.568557,Passed
874,113.5495111,Failed
2200,117.3634551,Failed
29,124.854339,Failed
1557,34.195550299999994,Passed
938,135.9401977,Timeout
2048,139.98213230000002,Failed
673,106.95257340000002,Failed
2216,107.5885897,Failed
2109,104.850631,Failed
1757,165.12080269999996,Failed
2315,48.50834920000001,Passed
794,96.9847118,Failed
36,97.17171640000001,Failed
620,89.1708212,Failed
532,195.6274221,Timeout
1607,100.8326529,Passed
373,46.4583605,Passed
253,100.8346908,Failed
677,94.1407543,Failed
777,110.5835139,Timeout
1287,30.0896039,Passed
463,99.5436964,Failed
319,103.2396362,Failed
374,98.7766766,Failed
1732,104.7216028,Failed
0,58.2872428,Timeout
1893,17.792757100000006,Passed
2577,93.2467755,Passed
1658,108.2255705,Failed
1043,89.2618233,Failed
1970,16.2017848,Passed
317,168.14877080000005,Timeout
1852,19.390741100000003,Passed
1497,109.3704788,Timeout
995,97.6056842,Timeout
2190,97.43467820000001,Failed
2084,112.491483,Failed
2016,86.3758224,Failed
868,91.1187919,Failed
64,94.3857624,Failed
2152,86.8188291,Failed
644,87.5938625,Failed
2146,143.3221063,Failed
1622,92.697753,Failed
1485,97.932691,Failed
2342,101.37162459999999,Failed
263,101.8556776,Failed
852,33.2875309,Passed
1380,25.8036567,Passed
2357,171.01372849999996,Timeout
2506,109.94853359999999,Failed
1634,121.48044640000002,Failed
1349,110.47255200000001,Failed
616,37.5945229,Passed
1544,148.75701909999995,Failed
2116,110.6095527,Timeout
1372,110.5805118,Failed
1273,107.0575765,Failed
2073,99.4976561,Failed
1565,111.1085295,Failed
258,102.3306524,Failed
786,93.8267794,Failed
1648,26.962642100000004,Passed
2530,92.1367709,Failed
2001,185.1385425,Failed
2215,95.2627509,Passed
482,104.8105995,Failed
1793,106.9395682,Failed
2490,27.7536172,Passed
1832,109.8785257,Failed
55,85.7148434,Passed
795,107.5315343,Timeout
559,109.9005231,Failed
2223,33.9595792,Passed
1725,125.0333375,Failed
988,105.8975841,Failed
1235,124.97633590000002,Timeout
2184,69.3350976,Passed
731,106.52959609999999,Failed
1410,95.5337145,Failed
1982,33.9095425,Passed
2363,37.7664907,Passed
829,99.0446813,Failed
689,93.6027319,Failed
763,88.4458302,Failed
2088,97.5597196,Failed
1152,19.1587719,Timeout
181,122.4813872,Passed
1791,95.635755,Failed
554,102.209647,Failed
220,98.6637202,Failed
1617,109.11954990000001,Failed
548,98.06764770000001,Failed
1203,98.0536965,Failed
1773,83.1719,Failed
2180,38.20750200000001,Timeout
145,102.4706103,Passed
476,43.7253774,Passed
1803,91.3627577,Failed
2404,110.2065024,Failed
739,99.7646565,Failed
2127,106.731568,Failed
15,38.4685385,Passed
1135,109.6465308,Failed
925,42.5584547,Passed
2316,63.5391377,Passed
1397,109.6435264,Failed
1234,43.4734417,Passed
835,104.9526065,Failed
1056,17.7807561,Failed
1364,105.0236053,Failed
1266,106.3236001,Failed
643,102.28261040000001,Failed
571,106.7215702,Failed
1012,106.5096015,Failed
2634,110.2665435,Failed
1103,121.8253718,Failed
2425,175.63568940000005,Failed
1210,97.0177137,Failed
1741,117.8364288,Failed
1196,100.3536808,Failed
743,100.3416789,Failed
233,91.7757735,Timeout
141,107.8945555,Timeout
2544,101.4016291,Passed
1790,117.2154514,Failed
1619,54.01822410000001,Timeout
2171,108.3695765,Failed
450,104.9166071,Timeout
101,97.1717136,Passed
2383,103.95661820000001,Failed
1194,102.7846234,Timeout
962,37.9265756,Passed
2596,94.462758,Timeout
2593,18.7737414,Passed
2051,105.044607,Timeout
2405,105.0456022,Timeout
2261,93.9617525,Failed
2091,224.89800309999998,Failed
2106,108.0815662,Failed
1367,158.52886769999995,Failed
1163,115.6024412,Timeout
1171,95.583712,Failed
120,108.5075293,Failed
522,104.48058449999999,Failed
2230,89.761762,Timeout
1526,215.4161096,Timeout
349,92.7237546,Failed
2652,90.4018107,Failed
2539,177.6146532,Failed
1004,101.7746381,Failed
1443,109.8715324,Failed
269,37.53652320000001,Passed
505,105.8155809,Timeout
2628,95.3397418,Failed
1278,180.0686065,Timeout
1120,109.9075325,Timeout
189,113.41550670000001,Failed
927,116.9214496,Failed
264,109.95853390000002,Failed
2267,38.9894811,Passed
323,113.49651670000002,Failed
2621,51.5863361,Passed
1792,113.4845273,Timeout
1958,116.9714433,Failed
1735,111.5124975,Failed
1807,105.9855938,Passed
348,113.53547079999998,Timeout
2307,32.3465463,Passed
235,98.8586814,Failed
392,105.8395806,Failed
95,105.8425828,Failed
1524,32.591549900000004,Passed
1368,105.2356071,Timeout
1540,101.6936778,Failed
1180,101.646634,Failed
783,101.594665,Failed
2255,100.42768029999999,Failed
2509,35.6905157,Passed
2598,109.1775548,Failed
2374,103.83160749999999,Failed
568,109.2055542,Failed
694,29.4246195,Passed
2458,95.4037433,Failed
2391,105.5856221,Failed
965,109.0855665,Timeout
1913,105.6076166,Failed
1729,102.1616514,Failed
828,102.1486513,Failed
1035,33.649538,Passed
1892,102.259648,Timeout
2285,33.881554,Passed
916,105.7895795,Timeout
2659,29.8285893,Passed
813,105.90356059999999,Timeout
2337,102.4436122,Failed
888,105.9885897,Failed
1868,105.9416114,Failed
2336,43.3834355,Passed
992,109.4845232,Failed
1334,200.5913148,Failed
509,110.0045425,Failed
416,106.62057279999999,Timeout
2207,50.08836229999999,Failed
1038,104.09161929999999,Passed
1878,29.8725912,Passed
1253,101.45067209999999,Failed
250,94.42975870000001,Failed
322,35.3575372,Passed
2218,90.9147897,Failed
858,102.5665701,Timeout
2519,94.9377382,Failed
122,170.3477493,Failed
1468,102.441618,Failed
1243,101.1306571,Failed
674,26.0296518,Passed
368,105.81363059999998,Failed
1192,90.2178099,Failed
2294,169.3497519,Timeout
774,95.6616888,Timeout
2390,86.66283390000002,Failed
1061,98.3286604,Failed
511,90.5938111,Failed
577,93.5827831,Failed
2493,176.92661809999996,Failed
1109,36.5974975,Passed
1649,93.6607359,Failed
1209,35.2965511,Passed
679,93.6667896,Failed
1149,180.9735911,Failed
1506,94.3887583,Failed
807,93.648737,Failed
1814,116.3944245,Timeout
1801,167.7277565,Failed
1507,98.3387087,Failed
2090,52.382317,Timeout
2602,28.810608,Passed
163,97.7046888,Failed
2220,90.7668287,Failed
1556,22.6026888,Failed
1064,98.2327024,Failed
840,161.87783280000005,Passed
495,233.61387850000003,Timeout
1312,105.7995818,Failed
1119,112.05851229999999,Failed
930,110.8405122,Failed
1058,115.9414938,Failed
943,180.5445842,Failed
1937,42.9184234,Passed
2289,123.0263673,Failed
2000,112.5445267,Failed
1552,108.46857320000001,Failed
1951,108.5485397,Failed
999,105.9785924,Timeout
32,105.1516044,Failed
2274,108.591535,Failed
408,104.5645902,Failed
2566,108.18456709999998,Failed
328,111.73254399999999,Failed
2563,114.2054871,Timeout
1153,154.5209571,Failed
1894,119.4863877,Passed
562,102.9576247,Failed
994,23.1996987,Passed
214,121.6433729,Timeout
371,118.2024322,Timeout
682,111.1795274,Timeout
420,31.5015643,Timeout
1651,96.5547029,Failed
2403,36.589499,Passed
1206,28.045662300000004,Failed
133,119.2314205,Failed
1078,134.3792284,Failed
1067,36.0035218,Passed
1442,119.239423,Timeout
254,112.2705188,Failed
2018,35.0615782,Passed
2312,101.165678,Timeout
2636,188.9194842,Failed
1612,120.2894062,Failed
1709,47.6573596,Passed
118,120.2143673,Failed
114,100.6546468,Failed
442,107.7635557,Failed
1877,83.8649113,Timeout
2533,42.9084275,Passed
1437,110.6345588,Passed
1664,108.2255675,Failed
1962,110.7155142,Failed
1600,113.6744775,Timeout
1319,111.3335302,Failed
1275,114.7784616,Failed
2475,114.0714933,Failed
2148,164.8348006,Failed
804,122.5193884,Timeout
376,122.51939099999998,Failed
788,126.0803334,Failed
1063,111.4325329,Failed
1124,111.45453329999998,Failed
411,52.077305,Passed
1959,125.3903087,Timeout
293,93.327766,Failed
2145,132.4922567,Failed
1596,14.190784,Passed
468,150.7339798,Failed
1834,138.01913969999998,Failed
2176,78.654942,Passed
711,116.3944729,Failed
1672,217.8020862,Failed
1927,144.1800841,Failed
1521,145.1860748,Timeout
474,30.2556049,Passed
618,46.7713605,Passed
401,114.7704554,Timeout
2134,114.2094568,Failed
2058,100.20667209999999,Failed
489,86.795835,Failed
543,38.4115073,Passed
24,155.7749255,Failed
205,183.109599,Passed
1369,137.3211832,Failed
685,97.7007146,Timeout
612,100.8826508,Failed
969,101.7596293,Failed
53,105.18860910000001,Failed
1036,221.45703340000003,Timeout
1763,50.1312999,Passed
81,106.8205699,Timeout
1250,111.7225053,Failed
71,100.6066761,Failed
1028,84.9308687,Failed
160,100.7086547,Failed
2112,93.5327648,Failed
2013,102.7176619,Failed
1333,54.6562984,Timeout
2029,162.3178137,Timeout
297,113.65347450000002,Timeout
1130,99.4526934,Failed
2252,111.098528,Failed
2356,44.9053718,Timeout
1419,114.65650259999998,Timeout
2362,102.0076429,Passed
1395,98.1006957,Failed
908,106.2615999,Failed
863,102.2286543,Failed
1247,119.51042859999998,Timeout
718,225.5690211,Timeout
937,120.3193687,Failed
2284,28.658565600000006,Passed
395,125.9313225,Timeout
656,122.4253853,Timeout
1146,118.9314135,Timeout
1336,111.39353919999999,Failed
2131,98.080694,Passed
1804,32.9326014,Passed
1629,34.1154966,Passed
1861,103.2326317,Timeout
678,85.5898813,Failed
1774,29.748589600000006,Timeout
211,107.3075393,Timeout
602,100.17367519999999,Failed
1022,103.0166328,Failed
1271,22.8986942,Passed
2406,160.2738324,Timeout
651,97.1897497,Failed
1258,99.4836614,Timeout
2605,85.8348078,Failed
2069,24.8066605,Timeout
954,56.7582372,Passed
231,94.6787315,Timeout
461,93.11976440000001,Failed
1438,103.8956628,Failed
650,100.0516743,Failed
693,214.9441648,Timeout
1277,119.2804242,Timeout
952,88.8288501,Failed
230,27.2666473,Passed
47,100.7716406,Failed
386,97.27476,Failed
2651,225.40784159999998,Timeout
385,217.8449346,Passed
445,95.14057170000001,Failed
1263,41.1012294,Passed
2644,95.1345916,Failed
2281,55.26698149999999,Passed
1066,102.2203938,Failed
1027,104.1113272,Failed
784,98.73034090000002,Failed
2626,27.1584574,Passed
158,113.9681218,Failed
2,33.12435,Passed
1863,26.8535109,Failed
2032,102.423172,Failed
2552,243.1102685,Passed
