id,duration,outcome
2007,22.360858,Passed
1241,34.8257539,Passed
1634,44.085694,Passed
2627,54.6946494,Passed
363,58.7715812,Passed
1152,60.416600300000006,Timeout
2177,61.2705898,Passed
1219,64.4855729,Failed
2470,65.7595346,Passed
28,67.551538,Failed
365,68.48754220000001,Timeout
1654,69.61754640000001,Passed
1923,69.6985443,Passed
2332,60.1996003,Passed
1047,38.98573010000001,Timeout
1328,18.6438287,Passed
762,23.642864000000007,Passed
239,34.110736100000004,Timeout
345,25.4528167,Passed
1535,36.56073,Timeout
878,35.9527484,Passed
2637,98.4903384,Passed
651,44.480676,Passed
2184,99.3392782,Passed
798,11.7319304,Passed
1448,68.2955382,Passed
1646,34.9537396,Passed
2108,36.119717,Passed
2410,111.16723540000001,Passed
1107,30.9297896,Passed
1544,49.6676081,Passed
1428,11.5439436,Failed
2224,25.2547679,Passed
1273,21.2089125,Passed
70,20.9068409,Passed
1608,24.2588409,Passed
1703,26.7948048,Passed
203,18.5178936,Passed
515,10.716951,Failed
2478,28.2038146,Passed
295,17.7298707,Failed
1725,20.6158694,Passed
496,11.8969133,Passed
2563,21.872844600000004,Failed
783,22.6018964,Passed
1276,14.5089041,Passed
1035,14.907896300000004,Passed
1039,22.5098782,Passed
2445,67.3765032,Timeout
246,18.864858,Failed
713,19.7658723,Failed
1962,33.96572620000001,Passed
1590,58.2215378,Passed
1364,24.5748201,Passed
987,72.7504946,Passed
991,70.5054921,Timeout
1301,32.478753600000005,Passed
156,25.975827,Passed
562,52.185648,Passed
2500,40.97569470000001,Passed
1748,39.7667138,Passed
245,44.6756847,Passed
617,51.002649700000006,Passed
60,89.3044327,Passed
254,62.34054250000001,Passed
1,17.541891699999994,Passed
2069,14.6178812,Timeout
367,17.4898632,Passed
791,16.1788959,Passed
1147,33.5688471,Passed
1630,37.928685,Passed
1462,20.4648714,Passed
514,18.6098991,Passed
343,18.7678995,Passed
1578,40.0957205,Passed
2390,43.7697678,Timeout
1559,34.6227891,Passed
1437,10.3939637,Passed
