id,duration,outcome
156,26.9861572,Passed
1714,28.7522118,Passed
2166,0.011943700000000002,Failed
1684,29.933176,Passed
967,33.1142258,Passed
431,46.0872777,Passed
247,47.3812973,Passed
2314,50.5503195,Passed
2455,51.23733789999999,Passed
771,61.3273609,Passed
2398,6.4610583,Passed
1968,68.9504294,Failed
2275,74.33845600000002,Passed
1599,21.013122,Failed
92,59.4543689,Passed
88,42.0262457,Timeout
34,98.822577,Timeout
900,51.1083038,Passed
2531,0.0030011,Failed
110,102.8516041,Failed
358,40.7852401,Passed
487,64.3783938,Passed
2603,110.9486543,Passed
2059,61.3873412,Passed
2481,112.3606993,Passed
1915,80.9744775,Failed
660,17.4740814,Passed
520,10.8900581,Passed
102,12.5290577,Passed
989,97.0935835,Passed
1882,4.609056099999999,Failed
1632,16.27711,Passed
907,41.8312781,Failed
1196,130.8977687,Passed
287,30.3221832,Passed
1190,112.2277271,Passed
1645,42.5452684,Passed
178,70.9964238,Passed
1943,25.8161929,Passed
640,16.877095800000006,Passed
2521,28.3361426,Passed
2621,14.8410751,Passed
1052,71.14237,Passed
1802,16.0400897,Passed
2540,50.0943026,Passed
896,0.0049941,Failed
1369,39.8681806,Passed
844,7.622068899999999,Passed
2182,26.338161199999995,Passed
2134,28.915169,Passed
1598,67.4024103,Passed
1804,4.8240085,Passed
936,13.8050703,Passed
352,6.9770827,Passed
1652,53.8883041,Failed
757,11.7180563,Passed
1949,51.8642983,Passed
1563,22.4261076,Passed
1374,10.5510495,Passed
1967,24.7100959,Passed
1145,16.0661051,Passed
988,27.200138,Passed
2422,8.3699666,Passed
153,20.620968,Passed
1656,22.7939772,Passed
488,31.877018100000004,Failed
474,18.9548418,Passed
580,12.9528492,Passed
22,69.8841115,Passed
2024,19.1097739,Passed
977,37.16382760000001,Passed
1561,10.9248805,Passed
1029,17.2277772,Failed
450,17.0247552,Passed
1557,9.0588741,Passed
533,93.4629691,Passed
648,29.0126201,Passed
661,106.6388864,Passed
2369,16.2377945,Passed
857,16.0287881,Passed
299,27.490661600000006,Passed
2439,10.8108552,Passed
2013,22.3727171,Passed
25,139.61496929999998,Passed
1572,36.8835061,Passed
51,5.2669067,Passed
826,53.19335529999999,Failed
1240,49.0073119,Passed
692,58.931354000000006,Passed
1371,10.438833,Passed
1097,11.7628732,Passed
2394,27.1346687,Passed
18,34.9105405,Passed
286,23.0637173,Passed
625,16.7447997,Passed
365,49.9263152,Passed
141,24.9886668,Passed
2466,15.4907302,Passed
2373,37.4225649,Passed
296,12.1418416,Passed
492,16.6188015,Passed
2005,23.1287008,Passed
471,15.6528193,Passed
2177,24.8107161,Passed
2617,40.0374696,Passed
308,21.2717314,Failed
2274,47.37538350000001,Passed
2442,22.337674300000003,Passed
568,84.62885940000002,Passed
827,60.7751814,Failed
972,26.2756268,Passed
187,29.804642600000005,Passed
2570,69.5480917,Failed
2296,32.7295528,Failed
2025,65.6331417,Passed
2477,47.9083582,Passed
2476,44.3703841,Passed
2388,76.5319821,Passed
72,17.8417569,Failed
1007,98.8126771,Passed
799,28.8266484,Passed
2404,47.2923389,Passed
1254,13.6538415,Passed
26,54.1902877,Passed
2252,114.1324788,Passed
824,35.0375375,Passed
1278,10.7678471,Passed
2282,46.3743635,Passed
973,60.5202152,Failed
1238,43.020423,Passed
829,35.5885549,Passed
833,61.1931005,Passed
1195,22.5086593,Passed
1101,5.772,Passed
1699,79.5499652,Passed
836,71.4160535,Passed
795,40.1064643,Passed
1769,58.9652127,Passed
495,195.4494092,Passed
1686,27.9686261,Passed
1105,27.6286591,Passed
2308,8.1828564,Failed
1341,15.212764800000002,Passed
999,0.0030014,Failed
2133,15.5437863,Passed
585,32.968555800000004,Passed
617,38.0744792,Passed
120,68.8791205,Passed
2009,8.4189022,Passed
2241,12.1188218,Passed
1824,12.640824,Passed
1948,33.6155136,Passed
901,26.4905826,Timeout
528,7.494944800000002,Failed
465,21.9927103,Passed
411,13.5888062,Passed
622,20.0087325,Passed
730,17.753784600000003,Failed
446,113.24050700000001,Passed
1507,38.5554698,Passed
1372,87.5487843,Passed
1303,73.5040025,Timeout
1424,42.52441629999999,Passed
968,18.8247354,Passed
159,9.620859800000002,Passed
1941,22.5626801,Timeout
1312,26.6346304,Passed
1075,15.8437844,Passed
761,42.8974281,Passed
83,16.0838306,Failed
2090,18.1397625,Passed
45,12.655862400000002,Passed
321,75.6380019,Passed
2281,33.0075642,Passed
1276,15.1988061,Passed
2539,21.2667331,Passed
1136,123.2373326,Timeout
1902,12.6658134,Passed
2015,18.8297417,Passed
2423,28.731645,Timeout
865,55.4573273,Failed
2138,31.6755661,Passed
1241,13.9488106,Passed
954,43.6654479,Passed
1490,44.8934392,Passed
2168,28.073625,Passed
2008,31.7455706,Passed
2191,29.7405861,Timeout
113,23.7226729,Passed
1891,23.8046752,Passed
1982,8.720913000000001,Passed
1740,38.1085001,Passed
232,57.1782478,Passed
322,5.3739432,Passed
1361,14.1587783,Passed
1452,20.0777345,Failed
782,19.7097467,Passed
990,13.0068289,Passed
1803,53.3993056,Passed
1220,12.6118222,Failed
1647,27.7726182,Passed
367,16.2567924,Passed
1413,30.8635825,Passed
1470,18.2147336,Passed
2303,8.1528815,Passed
207,24.5176085,Passed
923,41.7874347,Failed
2447,62.1691786,Passed
1852,16.0757913,Passed
1951,43.3263539,Passed
2421,28.3756078,Failed
319,23.9946762,Passed
342,136.7701844,Passed
2111,28.8366968,Passed
323,33.2356103,Passed
1443,20.4667435,Passed
1482,77.12298200000002,Timeout
370,38.3805053,Passed
297,15.2097269,Passed
288,66.6550998,Passed
1320,100.1496707,Timeout
2019,48.6023445,Passed
1346,57.1522476,Passed
1741,17.026773199999994,Passed
854,10.3219211,Passed
396,24.7247012,Passed
1594,29.3116713,Passed
715,55.3152705,Passed
1581,24.7966612,Passed
2651,0.0050018,Failed
1148,64.4531664,Passed
261,5.452896400000001,Passed
908,34.4085635,Passed
1028,11.2449123,Passed
237,19.059741100000004,Failed
307,13.164837099999998,Passed
1925,30.637579100000004,Failed
759,18.4757278,Passed
861,35.4275036,Passed
267,24.8497062,Passed
739,18.382735600000004,Passed
2074,15.7577727,Passed
167,33.2005689,Failed
8,22.0957573,Passed
2175,27.2416115,Passed
1044,11.8578837,Passed
1344,24.5906514,Timeout
2410,56.17821510000001,Passed
1137,18.5427284,Passed
1998,21.8706777,Passed
