id,duration,outcome
176,26.8218031,Passed
1035,27.0018142,Passed
334,49.8096477,Passed
579,50.7766653,Passed
679,54.3996015,Passed
1448,54.46661260000001,Passed
1467,60.4625676,Timeout
6,61.0845838,Passed
805,64.4844958,Failed
1001,68.73252159999998,Passed
1538,74.31146159999999,Passed
2311,48.4756566,Passed
2123,14.8158899,Passed
1319,53.6896176,Passed
1275,28.8428396,Passed
1404,14.9858913,Failed
1627,86.1643642,Passed
215,14.111905300000002,Passed
2090,36.2317264,Passed
2055,18.2648723,Passed
2073,95.2663164,Passed
1150,97.69230809999999,Passed
650,52.3176161,Passed
1076,22.8528764,Failed
559,54.5706076,Passed
1131,9.8389614,Passed
510,22.1297877,Passed
153,22.170854100000003,Passed
55,108.53123390000002,Passed
2092,35.22271629999999,Timeout
273,15.1469078,Passed
317,11.9709168,Passed
2562,53.6136948,Passed
122,27.9508295,Passed
1335,16.0949014,Passed
950,14.7618883,Passed
958,19.1698349,Passed
794,19.6178507,Passed
380,10.6079114,Passed
790,36.3267273,Passed
415,23.3929028,Passed
551,11.7299483,Passed
1377,31.539836800000003,Passed
595,45.29970520000001,Passed
1195,17.500854999999998,Passed
584,13.7078926,Passed
1996,34.4657448,Passed
2109,87.1254009,Timeout
209,65.452559,Timeout
2077,28.8628355,Passed
2353,12.0929224,Passed
1497,31.2907924,Passed
237,18.5928505,Passed
226,54.7196512,Timeout
2533,14.311909900000002,Passed
2290,44.6566863,Passed
2078,27.3648157,Failed
1414,38.3767496,Passed
1458,66.3154703,Passed
1508,33.4307851,Passed
1891,44.1876619,Passed
2045,204.4675679,Failed
2190,54.7356124,Failed
2572,61.9355693,Timeout
188,57.0955748,Passed
144,23.6268084,Passed
791,48.1006678,Passed
1707,16.2808999,Timeout
2135,88.25136479999998,Passed
1795,68.2635029,Passed
2258,26.3508302,Passed
1255,20.7238793,Passed
217,93.7613763,Passed
1985,33.584777,Passed
384,37.6057652,Passed
2509,23.1418436,Passed
1409,15.606880800000004,Passed
1113,15.559918599999998,Timeout
1075,17.0888801,Passed
2201,98.46929990000001,Passed
707,46.0256761,Passed
797,23.9958336,Passed
2651,60.53857489999999,Passed
1227,46.0916831,Passed
1272,17.5388975,Passed
619,20.3478741,Passed
9,26.1677868,Passed
1914,117.2121492,Passed
1259,113.7032218,Passed
2363,28.083790500000006,Timeout
553,22.0738362,Failed
2188,12.4048849,Passed
1609,18.2248336,Passed
2594,30.4717418,Passed
857,18.9957984,Passed
58,13.9958285,Failed
1782,39.5556737,Passed
875,171.2116938,Passed
501,44.3296063,Passed
2602,16.699821300000004,Passed
1308,28.0386936,Passed
678,25.3447155,Passed
2080,19.2547221,Passed
1263,22.3047187,Passed
2084,23.8966752,Passed
318,20.7257135,Passed
1573,21.6126985,Passed
565,14.027807199999998,Passed
546,25.8016487,Passed
2006,27.2386292,Failed
2266,17.160773499999998,Passed
2253,27.0036283,Passed
1869,13.1318302,Passed
1995,29.9525974,Failed
651,34.5625568,Passed
1136,142.5467449,Timeout
339,40.613476,Passed
561,44.88745170000001,Passed
2278,24.0386779,Passed
1411,169.85946030000005,Passed
464,13.9987631,Passed
293,20.1187503,Passed
961,40.5864953,Passed
1047,17.8787571,Passed
728,11.8248399,Passed
2447,63.2421615,Passed
2116,17.6607501,Passed
261,5.1789329,Passed
1393,19.8367662,Passed
1698,45.6443794,Failed
521,20.2347897,Passed
1489,28.9516131,Passed
0,40.8044458,Passed
2283,14.7957955,Passed
1885,41.616488200000006,Passed
1509,32.5315493,Passed
2241,13.6408047,Passed
1234,8.982880900000003,Passed
1870,33.7455416,Passed
448,6.6378968999999985,Passed
1716,19.9097319,Passed
1779,11.2698188,Passed
848,92.3357459,Passed
1866,22.4917286,Passed
1785,45.9083924,Passed
389,21.2296889,Passed
1081,22.1137117,Passed
1440,21.4337398,Passed
2158,17.230779199999994,Passed
30,26.664673200000006,Passed
88,19.9496845,Passed
1862,46.97637329999999,Passed
668,19.1487521,Passed
536,37.1185105,Passed
1860,24.4086944,Failed
1294,21.3326827,Passed
2021,19.6687249,Passed
716,24.0676736,Passed
1710,20.1426921,Passed
727,36.8895015,Failed
430,12.6198129,Passed
801,60.3002129,Passed
349,19.2277985,Passed
1481,18.2117587,Passed
1344,22.8627283,Passed
1808,18.0127625,Passed
1839,34.6625281,Passed
2026,24.1486888,Failed
947,46.2673485,Timeout
2582,23.2947075,Passed
1655,30.9935934,Passed
572,21.5916955,Passed
1380,14.363791399999998,Passed
2185,15.6227799,Passed
1269,26.294666,Passed
1854,27.3816122,Passed
123,33.503581800000006,Passed
1690,33.3565394,Passed
1477,22.9057306,Passed
1801,16.9977752,Passed
2407,4.595918599999999,Failed
1446,24.0616756,Passed
1470,14.2618199,Passed
693,20.8347465,Passed
