id,duration,outcome
672,22.1885782,Passed
451,32.6153868,Passed
177,39.3302402,Passed
1183,42.6921592,Passed
2230,42.7071453,Passed
912,48.4490653,Passed
1656,53.9609364,Passed
221,57.94685870000001,Passed
1365,66.1097065,Passed
2145,19.9696031,Timeout
730,74.1335459,Passed
2358,21.9875644,Passed
1630,18.3486544,Failed
2242,37.5522826,Failed
323,82.4463973,Passed
2622,88.34426859999998,Failed
733,90.33623370000001,Passed
680,92.9861688,Passed
625,26.8184405,Passed
1251,29.9023598,Passed
365,95.9141055,Failed
501,57.1588416,Passed
2399,85.21032389999998,Failed
1578,107.8448453,Passed
886,31.2133937,Passed
2232,79.6874127,Passed
1080,19.3476662,Passed
581,42.4541809,Passed
943,28.9544284,Passed
1305,28.061485,Passed
1551,19.0686504,Timeout
877,36.8262671,Passed
712,45.7490854,Passed
2234,54.23693539999999,Passed
1959,26.0054885,Timeout
1831,30.0024105,Passed
891,26.9624775,Passed
253,20.5825812,Failed
1911,56.7219184,Passed
2410,82.3293988,Passed
1509,35.2392633,Passed
603,18.02865,Passed
1467,27.7404438,Failed
1219,16.5386989,Passed
2061,52.8899547,Failed
2374,28.5134593,Passed
1658,43.6041231,Passed
1340,11.7537612,Passed
1458,64.9057193,Passed
985,14.8756716,Passed
139,45.3171184,Failed
2184,86.54027579999997,Passed
81,27.405429700000006,Passed
1942,88.10227420000002,Timeout
2188,17.287694000000002,Passed
2308,20.3235706,Passed
635,70.1076202,Failed
1990,21.2145883,Passed
262,24.7235445,Failed
2617,32.3393776,Failed
97,80.26242909999998,Passed
2412,41.970169,Failed
24,43.762161,Failed
772,21.1865901,Passed
642,38.6732704,Passed
710,60.2108194,Timeout
322,19.3986014,Passed
1142,42.8331494,Failed
1099,54.3979394,Passed
1063,37.6202833,Passed
774,28.0374525,Passed
2433,40.7621808,Failed
1572,46.75007100000001,Passed
1669,30.658388800000004,Passed
2203,55.1859127,Passed
1054,71.6315744,Timeout
475,39.64320470000001,Passed
1793,41.332239,Failed
523,36.3662891,Passed
2439,20.6856215,Passed
1235,36.3722615,Passed
76,46.6720607,Failed
2103,40.587225200000006,Passed
671,36.44326020000001,Passed
1525,72.4375518,Passed
1252,29.7453989,Passed
660,22.417576,Passed
1611,16.9766704,Passed
2339,33.465359,Passed
1241,17.0406468,Passed
1087,37.0692638,Passed
1596,14.9646594,Passed
694,30.4823825,Passed
1220,22.7595421,Passed
220,39.5832445,Failed
2052,22.0275702,Passed
2353,13.0797471,Passed
1431,16.2326591,Passed
1083,16.976680899999998,Passed
1192,17.756635100000004,Failed
2163,59.6798038,Passed
1174,37.02926220000001,Passed
590,28.8794264,Passed
898,86.1313119,Failed
1118,18.701658,Passed
2646,15.6466777,Passed
169,28.9284772,Failed
1684,15.0457045,Passed
91,14.3417328,Passed
1182,18.0346361,Passed
2212,26.5514631,Passed
1447,36.6953008,Passed
2406,56.7538743,Passed
309,30.0944088,Passed
641,31.4313972,Failed
1433,68.4486218,Failed
1008,25.4324725,Passed
599,30.3464145,Passed
1161,45.80611470000001,Passed
2306,17.1087422,Passed
421,40.9112625,Passed
2444,40.5913606,Passed
1686,38.8504436,Passed
1927,43.3903554,Passed
784,27.1638273,Passed
809,50.0333722,Timeout
880,34.96066629999999,Passed
2201,324.0560518000001,Failed
1299,36.2357687,Passed
1294,23.7029267,Passed
2352,32.6119217,Failed
2091,34.373998799999995,Passed
2058,24.8460173,Passed
514,17.6289851,Timeout
2544,102.7578939,Passed
1795,66.21265279999999,Passed
2175,32.1679941,Passed
663,41.716007,Passed
